Device,MeanTemp,MaxTemp,MeanPressure,MaxPressure,Efficiency
Ritter1,183.25333333333333,185.56,157.43240590109355,1978.6875,100.0
Ritter2,157.5,157.5,167.34254643152275,1718.3,95.4805501484018
StatimA,136.1193228780399,136.36582501467998,223.20804897706853,225.09060856498874,100.0
StatimB,136.08466230684476,136.34529972752046,222.9944665299257,224.79065985130111,100.0
