Filename,Device,MaxTemp,MeanTemp,MaxPressure,MeanPressure,TotalCycle_min
593_U02.pdf,Ritter2,,,,,
592_U02.pdf,Ritter2,,,,,
596_U02.pdf,Ritter2,,,,,
657_.pdf,Ritter2,,,,,
660_.pdf,Ritter2,,,,,
656_.pdf,Ritter2,,,,,
658_.pdf,Ritter2,,,,,
659_.pdf,Ritter2,,,,,
601_U02.pdf,Ritter2,,,,,
604_U02.pdf,Ritter2,,,,,
606_.pdf,Ritter2,,,,,
603_.pdf,Ritter2,,,,,
602_.pdf,Ritter2,,,,,
605_U02.pdf,Ritter2,,,,,
635_.pdf,Ritter2,,,,,
633_.pdf,Ritter2,,,,,
639_U02.pdf,Ritter2,,,,,
634_.pdf,Ritter2,,,,,
638_.pdf,Ritter2,,,,,
636_.pdf,Ritter2,,,,,
637_.pdf,Ritter2,,,,,
632_.pdf,Ritter2,,,,,
631_.pdf,Ritter2,,,,,
630_.pdf,Ritter2,,,,,
629_.pdf,Ritter2,,,,,
628_.pdf,Ritter2,,,,,
625_.pdf,Ritter2,,,,,
627_.pdf,Ritter2,,,,,
626_.pdf,Ritter2,,,,,
668_U02.pdf,Ritter2,,,,,
670_U02.pdf,Ritter2,,,,,
671_.pdf,Ritter2,,,,,
669_U02.pdf,Ritter2,,,,,
608_U02.pdf,Ritter2,,,,,
607_.pdf,Ritter2,,,,,
646_U04.pdf,Ritter2,,,,,
648_U02.pdf,Ritter2,,,,,
645_C103.pdf,Ritter2,,,,,
640_U02.pdf,Ritter2,,,,,
641_U02.pdf,Ritter2,,,,,
647_U02.pdf,Ritter2,,,,,
643_U02.pdf,Ritter2,,,,,
644_U02.pdf,Ritter2,,,,,
645_U02.pdf,Ritter2,,,,,
642_U02.pdf,Ritter2,,,,,
142_.pdf,Ritter2,,,,,
144_.pdf,Ritter2,,,,,
143_.pdf,Ritter2,,,,,
150_U01.pdf,Ritter2,,,,,
147_U01.pdf,Ritter2,,,,,
145_U01.pdf,Ritter2,,,,,
149_U01.pdf,Ritter2,,,,,
151_U01.pdf,Ritter2,,,,,
148_U01.pdf,Ritter2,,,,,
146_U01.pdf,Ritter2,,,,,
152_.pdf,Ritter2,,,,,
154_.pdf,Ritter2,,,,,
153_.pdf,Ritter2,,,,,
155_.pdf,Ritter2,,,,,
138_.pdf,Ritter2,,,,,
139_.pdf,Ritter2,,,,,
141_.pdf,Ritter2,,,,,
140_.pdf,Ritter2,,,,,
136_.pdf,Ritter2,,,,,
137_.pdf,Ritter2,,,,,
118_.pdf,Ritter2,,,,,
116_.pdf,Ritter2,,,,,
117_.pdf,Ritter2,,,,,
119_U01.pdf,Ritter2,,,,,
82_.pdf,Ritter2,,,,,
80_.pdf,Ritter2,,,,,
81_.pdf,Ritter2,,,,,
83_.pdf,Ritter2,,,,,
84_.pdf,Ritter2,,,,,
85_.pdf,Ritter2,,,,,
87_.pdf,Ritter2,,,,,
90_.pdf,Ritter2,,,,,
88_.pdf,Ritter2,,,,,
86_.pdf,Ritter2,,,,,
91_.pdf,Ritter2,,,,,
89_.pdf,Ritter2,,,,,
76_.pdf,Ritter2,,,,,
79_.pdf,Ritter2,,,,,
74_.pdf,Ritter2,,,,,
78_.pdf,Ritter2,,,,,
75_.pdf,Ritter2,,,,,
77_.pdf,Ritter2,,,,,
66_.pdf,Ritter2,,,,,
65_.pdf,Ritter2,,,,,
63_.pdf,Ritter2,,,,,
61_.pdf,Ritter2,,,,,
62_.pdf,Ritter2,,,,,
64_.pdf,Ritter2,,,,,
122_U01.pdf,Ritter2,,,,,
120_U01.pdf,Ritter2,,,,,
121_U01.pdf,Ritter2,,,,,
123_U01.pdf,Ritter2,,,,,
99_.pdf,Ritter2,,,,,
104_.pdf,Ritter2,,,,,
103_.pdf,Ritter2,,,,,
101_.pdf,Ritter2,,,,,
100_.pdf,Ritter2,,,,,
102_.pdf,Ritter2,,,,,
96_U01.pdf,Ritter2,,,,,
92_U01.pdf,Ritter2,,,,,
95_U01.pdf,Ritter2,,,,,
98_U01.pdf,Ritter2,,,1.0,1.0,
94_U01.pdf,Ritter2,,,,,
97_U01.pdf,Ritter2,,,,,
93_U01.pdf,Ritter2,,,,,
114_C102.pdf,Ritter2,,,,,
113_.pdf,Ritter2,,,,,
115_.pdf,Ritter2,,,,,
112_.pdf,Ritter2,,,,,
110_.pdf,Ritter2,,,,,
114_.pdf,Ritter2,,,,,
111_.pdf,Ritter2,,,,,
127_.pdf,Ritter2,,,,,
128_.pdf,Ritter2,,,,,
125_.pdf,Ritter2,,,,,
126_.pdf,Ritter2,,,,,
124_.pdf,Ritter2,,,,,
70_U01.pdf,Ritter2,,,,,
68_.pdf,Ritter2,,,2021.0,409.6,
72_U01.pdf,Ritter2,,,,,
71_U01.pdf,Ritter2,,,,,
69_U01.pdf,Ritter2,,,,,
67_U01.pdf,Ritter2,,,2021.0,124.84210526315789,85.38333333333334
73_U01.pdf,Ritter2,,,2021.0,339.6666666666667,
108_.pdf,Ritter2,,,,,
105_.pdf,Ritter2,,,,,
107_U01.pdf,Ritter2,,,,,
106_.pdf,Ritter2,,,,,
109_U01.pdf,Ritter2,,,,,
129_.pdf,Ritter2,,,,,
132_.pdf,Ritter2,,,,,
133_.pdf,Ritter2,,,,,
134_.pdf,Ritter2,,,,,
135_.pdf,Ritter2,,,,,
131_.pdf,Ritter2,,,,,
130_.pdf,Ritter2,,,,,
36_.pdf,Ritter2,,,,,
41_.pdf,Ritter2,,,,,
40_.pdf,Ritter2,,,,,
39_.pdf,Ritter2,,,,,
38_.pdf,Ritter2,,,,,
35_.pdf,Ritter2,,,,,
37_.pdf,Ritter2,,,,,
47_.pdf,Ritter2,,,,,
48_.pdf,Ritter2,,,,,
52_.pdf,Ritter2,,,,,
49_.pdf,Ritter2,,,,,
53_.pdf,Ritter2,,,,,
51_.pdf,Ritter2,,,,,
50_.pdf,Ritter2,,,,,
31_.pdf,Ritter2,,,,,
32_.pdf,Ritter2,,,,,
28_.pdf,Ritter2,,,,,
34_.pdf,Ritter2,,,,,
30_.pdf,Ritter2,,,,,
33_.pdf,Ritter2,,,,,
29_.pdf,Ritter2,,,,,
56_U01.pdf,Ritter2,,,2021.0,197.0,77.41666666666667
58_U01.pdf,Ritter2,,,2021.0,173.69230769230768,77.8
55_U01.pdf,Ritter2,,,2021.0,138.94117647058823,83.73333333333333
59_U01.pdf,Ritter2,,,2021.0,352.1666666666667,
60_U01.pdf,Ritter2,,,1.0,1.0,
57_U01.pdf,Ritter2,,,,,
54_U01.pdf,Ritter2,,,,,
43_.pdf,Ritter2,,,,,
42_.pdf,Ritter2,,,,,
45_.pdf,Ritter2,,,,,
46_.pdf,Ritter2,,,,,
44_.pdf,Ritter2,,,,,
376_U01.pdf,Ritter2,,,,,
378_U01.pdf,Ritter2,,,,,
377_U01.pdf,Ritter2,,,,,
399_U01.pdf,Ritter2,,,,,
400_U01.pdf,Ritter2,,,,,
401_U01.pdf,Ritter2,,,,,
402_U01.pdf,Ritter2,,,,,
403_U01.pdf,Ritter2,,,,,
398_U01.pdf,Ritter2,,,,,
405_U01.pdf,Ritter2,,,,,
404_U01.pdf,Ritter2,,,,,
407_U01.pdf,Ritter2,,,,,
406_U01.pdf,Ritter2,,,,,
397_U01.pdf,Ritter2,,,,,
393_U01.pdf,Ritter2,,,,,
396_U01.pdf,Ritter2,,,,,
394_U01.pdf,Ritter2,,,,,
395_U01.pdf,Ritter2,,,,,
344_.pdf,Ritter2,,,,,
349_U02.pdf,Ritter2,,,,,
347_U02.pdf,Ritter2,,,,,
346_U02.pdf,Ritter2,,,,,
343_U02.pdf,Ritter2,,,,,
351_.pdf,Ritter2,,,,,
348_U02.pdf,Ritter2,,,,,
345_U02.pdf,Ritter2,,,,,
350_U02.pdf,Ritter2,,,,,
350_C232.pdf,Ritter2,,,,,
340_U01.pdf,Ritter2,,,,,
339_U01.pdf,Ritter2,,,,,
338_U01.pdf,Ritter2,,,,,
336_U01.pdf,Ritter2,,,,,
342_U01.pdf,Ritter2,,,,,
337_U01.pdf,Ritter2,,,,,
341_U01.pdf,Ritter2,,,,,
380_U01.pdf,Ritter2,,,,,
379_U01.pdf,Ritter2,,,,,
367_U01.pdf,Ritter2,,,,,
364_U01.pdf,Ritter2,,,,,
365_U01.pdf,Ritter2,,,,,
366_U01.pdf,Ritter2,,,,,
334_.pdf,Ritter2,,,,,
335_U02.pdf,Ritter2,,,,,
328_U02.pdf,Ritter2,,,,,
329_U02.pdf,Ritter2,,,,,
333_U02.pdf,Ritter2,,,,,
332_U02.pdf,Ritter2,,,,,
331_U02.pdf,Ritter2,,,,,
330_.pdf,Ritter2,,,,,
361_U01.pdf,Ritter2,,,,,
359_U01.pdf,Ritter2,,,,,
358_U01.pdf,Ritter2,,,,,
362_U01.pdf,Ritter2,,,,,
360_U01.pdf,Ritter2,,,,,
363_U01.pdf,Ritter2,,,,,
353_U01.pdf,Ritter2,,,,,
352_U01.pdf,Ritter2,,,,,
354_U01.pdf,Ritter2,,,,,
356_U01.pdf,Ritter2,,,,,
355_U01.pdf,Ritter2,,,,,
357_U01.pdf,Ritter2,,,,,
382_U01.pdf,Ritter2,,,,,
385_U01.pdf,Ritter2,,,,,
383_U01.pdf,Ritter2,,,,,
381_U01.pdf,Ritter2,,,,,
384_U01.pdf,Ritter2,,,,,
411_U02.pdf,Ritter2,,,,,
408_U02.pdf,Ritter2,,,,,
409_U02.pdf,Ritter2,,,,,
410_U02.pdf,Ritter2,,,,,
371_U02.pdf,Ritter2,,,,,
370_U02.pdf,Ritter2,,,,,
375_U02.pdf,Ritter2,,,,,
372_.pdf,Ritter2,,,,,
368_U02.pdf,Ritter2,,,,,
373_.pdf,Ritter2,,,,,
369_U02.pdf,Ritter2,,,,,
374_.pdf,Ritter2,,,,,
390_U02.pdf,Ritter2,,,,,
388_U02.pdf,Ritter2,,,,,
389_U02.pdf,Ritter2,,,,,
391_U02.pdf,Ritter2,,,,,
387_U02.pdf,Ritter2,,,,,
386_.pdf,Ritter2,,,,,
294_.pdf,Ritter2,,,,,
296_.pdf,Ritter2,,,,,
295_.pdf,Ritter2,,,,,
309_U02.pdf,Ritter2,,,,,
311_U02.pdf,Ritter2,,,,,
312_.pdf,Ritter2,,,,,
310_U02.pdf,Ritter2,,,,,
308_.pdf,Ritter2,,,,,
307_U02.pdf,Ritter2,,,,,
313_U02.pdf,Ritter2,,,,,
316_.pdf,Ritter2,,,,,
314_.pdf,Ritter2,,,,,
315_.pdf,Ritter2,,,,,
304_U02.pdf,Ritter2,,,,,
305_U02.pdf,Ritter2,,,,,
306_U02.pdf,Ritter2,,,,,
282_.pdf,Ritter2,,,,,
285_U02.pdf,Ritter2,,,,,
281_.pdf,Ritter2,,,,,
284_.pdf,Ritter2,,,,,
283_.pdf,Ritter2,,,,,
270_U01.pdf,Ritter2,,,,,
271_U01.pdf,Ritter2,,,,,
273_U01.pdf,Ritter2,,,,,
272_U01.pdf,Ritter2,,,,,
269_U01.pdf,Ritter2,,,,,
268_U01.pdf,Ritter2,,,,,
276_U01.pdf,Ritter2,,,,,
275_U01.pdf,Ritter2,,,,,
277_U01.pdf,Ritter2,,,,,
279_U01.pdf,Ritter2,,,,,
278_U01.pdf,Ritter2,,,,,
274_U01.pdf,Ritter2,,,,,
280_U02.pdf,Ritter2,,,,,
319_U02.pdf,Ritter2,,,,,
322_U02.pdf,Ritter2,,,,,
318_U02.pdf,Ritter2,,,,,
320_U02.pdf,Ritter2,,,,,
321_.pdf,Ritter2,,,,,
317_.pdf,Ritter2,,,,,
263_.pdf,Ritter2,,,,,
261_U01.pdf,Ritter2,,,,,
260_U01.pdf,Ritter2,157.5,157.5,2021.0,110.71739130434783,90.58333333333333
262_U01.pdf,Ritter2,,,,,
287_U02.pdf,Ritter2,,,,,
286_U02.pdf,Ritter2,,,,,
288_U02.pdf,Ritter2,,,,,
291_U02.pdf,Ritter2,,,,,
292_U02.pdf,Ritter2,,,,,
293_U02.pdf,Ritter2,,,,,
290_.pdf,Ritter2,,,,,
289_U02.pdf,Ritter2,,,,,
323_.pdf,Ritter2,,,,,
325_.pdf,Ritter2,,,,,
324_.pdf,Ritter2,,,,,
326_.pdf,Ritter2,,,,,
327_.pdf,Ritter2,,,,,
303_U02.pdf,Ritter2,,,,,
298_U02.pdf,Ritter2,,,,,
302_U02.pdf,Ritter2,,,,,
299_U02.pdf,Ritter2,,,,,
300_U02.pdf,Ritter2,,,,,
301_U02.pdf,Ritter2,,,,,
267_U02.pdf,Ritter2,,,,,
265_.pdf,Ritter2,,,,,
264_.pdf,Ritter2,,,,,
266_U02.pdf,Ritter2,,,,,
225_U01.pdf,Ritter2,,,,,
227_U01.pdf,Ritter2,,,2021.0,123.0,86.4
226_U01.pdf,Ritter2,,,,,
258_U01.pdf,Ritter2,,,,,
256_U01.pdf,Ritter2,,,,,
255_U01.pdf,Ritter2,,,,,
259_U01.pdf,Ritter2,,,,,
254_U01.pdf,Ritter2,,,,,
257_U01.pdf,Ritter2,,,,,
253_U01.pdf,Ritter2,,,,,
251_U01.pdf,Ritter2,,,,,
252_U01.pdf,Ritter2,,,,,
250_U01.pdf,Ritter2,,,,,
249_U01.pdf,Ritter2,,,,,
188_U01.pdf,Ritter2,,,,,
181_U02.pdf,Ritter2,,,,,
180_U02.pdf,Ritter2,,,,,
185_U02.pdf,Ritter2,,,,,
186_U02.pdf,Ritter2,,,,,
183_U02.pdf,Ritter2,,,,,
179_.pdf,Ritter2,,,,,
182_.pdf,Ritter2,,,,,
187_U02.pdf,Ritter2,,,,,
184_U02.pdf,Ritter2,,,,,
192_U01.pdf,Ritter2,,,,,
196_U01.pdf,Ritter2,,,,,
191_U01.pdf,Ritter2,,,,,
194_U01.pdf,Ritter2,,,,,
193_U01.pdf,Ritter2,,,,,
195_U01.pdf,Ritter2,,,,,
189_U01.pdf,Ritter2,,,,,
190_U01.pdf,Ritter2,,,,,
229_.pdf,Ritter2,,,,,
231_U01.pdf,Ritter2,,,,,
230_U01.pdf,Ritter2,,,,,
228_U01.pdf,Ritter2,,,,,
234_U01.pdf,Ritter2,,,,,
233_U01.pdf,Ritter2,,,,,
232_U01.pdf,Ritter2,,,,,
167_U02.pdf,Ritter2,,,,,
169_U02.pdf,Ritter2,,,,,
166_U02.pdf,Ritter2,,,,,
164_U01.pdf,Ritter2,,,,,
165_U02.pdf,Ritter2,,,,,
168_U02.pdf,Ritter2,,,,,
212_U02.pdf,Ritter2,,,,,
218_U02.pdf,Ritter2,,,,,
215_U02.pdf,Ritter2,,,,,
211_U02.pdf,Ritter2,,,,,
213_U02.pdf,Ritter2,,,,,
214_U02.pdf,Ritter2,,,,,
217_U02.pdf,Ritter2,,,,,
219_.pdf,Ritter2,,,,,
216_.pdf,Ritter2,,,,,
207_U01.pdf,Ritter2,,,,,
206_U01.pdf,Ritter2,,,,,
204_U01.pdf,Ritter2,,,,,
205_U01.pdf,Ritter2,,,,,
203_U01.pdf,Ritter2,,,,,
209_.pdf,Ritter2,,,,,
208_U01.pdf,Ritter2,,,,,
210_U01.pdf,Ritter2,,,1.0,1.0,
198_U01.pdf,Ritter2,,,,,
199_U01.pdf,Ritter2,,,,,
202_U01.pdf,Ritter2,,,,,
197_U01.pdf,Ritter2,,,,,
200_U01.pdf,Ritter2,,,,,
201_U01.pdf,Ritter2,,,,,
240_U02.pdf,Ritter2,,,,,
238_U02.pdf,Ritter2,,,,,
235_.pdf,Ritter2,,,,,
236_U02.pdf,Ritter2,,,,,
239_.pdf,Ritter2,,,,,
237_U02.pdf,Ritter2,,,,,
174_U02.pdf,Ritter2,,,,,
178_U01.pdf,Ritter2,,,,,
173_U01.pdf,Ritter2,,,,,
176_U01.pdf,Ritter2,,,,,
175_U01.pdf,Ritter2,,,,,
172_U01.pdf,Ritter2,,,,,
177_U01.pdf,Ritter2,,,,,
171_U02.pdf,Ritter2,,,,,
170_U01.pdf,Ritter2,,,,,
224_U01.pdf,Ritter2,,,,,
221_U01.pdf,Ritter2,,,,,
223_U01.pdf,Ritter2,,,,,
222_U01.pdf,Ritter2,,,,,
220_C232.pdf,Ritter2,,,,,
